arm,setting,graph_type,condition,avg_retrieved_size,precision,evidence_recall,full_hit_rate,f1,n_queries,n_raw_queries,n_excluded_empty_gold
k17_pcst_topk3,topk3,combined,combined_pcst,7.89,0.2109,0.6305,0.3273,0.3103,2255,2556,301
k17_pcst_topk3,topk3,entity,entity_pcst,8.68,0.1969,0.5895,0.2745,0.2832,2255,2556,301
k17_pcst_topk3,topk3,metadata,metadata_pcst,7.24,0.2346,0.5983,0.2807,0.3279,2255,2556,301
k17_pcst_topk3,topk3,semantic,semantic_pcst,6.91,0.2364,0.6013,0.2918,0.3316,2255,2556,301
k17_pcst_cost10,cost10,combined,combined_pcst,9.4,0.1984,0.7027,0.4217,0.304,2255,2556,301
k17_pcst_cost10,cost10,entity,entity_pcst,9.89,0.1925,0.6843,0.3965,0.2931,2255,2556,301
k17_pcst_cost10,cost10,metadata,metadata_pcst,8.67,0.2131,0.6641,0.3623,0.3149,2255,2556,301
k17_pcst_cost10,cost10,semantic,semantic_pcst,8.35,0.2181,0.677,0.3916,0.3236,2255,2556,301
mutual_knn_k17,default_topk6_cost05,combined,combined_pcst,9.89,0.1909,0.7099,0.4306,0.2957,2255,2556,301
mutual_knn_k17,default_topk6_cost05,entity,entity_pcst,11.75,0.1699,0.7047,0.4244,0.2672,2255,2556,301
mutual_knn_k17,default_topk6_cost05,metadata,metadata_pcst,9.71,0.1966,0.6794,0.38,0.2973,2255,2556,301
mutual_knn_k17,default_topk6_cost05,semantic,semantic_pcst,9.18,0.2036,0.6897,0.4084,0.3078,2255,2556,301
k17_pcst_cost025,cost025,combined,combined_pcst,9.97,0.1902,0.7108,0.431,0.2948,2255,2556,301
k17_pcst_cost025,cost025,entity,entity_pcst,12.96,0.1579,0.717,0.4439,0.2526,2255,2556,301
k17_pcst_cost025,cost025,metadata,metadata_pcst,10.28,0.1881,0.687,0.388,0.288,2255,2556,301
k17_pcst_cost025,cost025,semantic,semantic_pcst,9.7,0.1966,0.7003,0.42,0.3006,2255,2556,301
k17_pcst_topk9,topk9,combined,combined_pcst,12.27,0.1657,0.7647,0.4984,0.2683,2255,2556,301
k17_pcst_topk9,topk9,entity,entity_pcst,14.97,0.1435,0.7626,0.5051,0.2368,2255,2556,301
k17_pcst_topk9,topk9,metadata,metadata_pcst,12.57,0.1622,0.7339,0.4483,0.2604,2255,2556,301
k17_pcst_topk9,topk9,semantic,semantic_pcst,11.89,0.1705,0.7511,0.4834,0.273,2255,2556,301
