condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7054,0.3272,0.2038,0.3132,10.96,816
combined_no_pcst,comparison_query,0.6822,0.4194,0.1401,0.2309,10.8,856
combined_no_pcst,temporal_query,0.7913,0.5386,0.1773,0.2873,10.8,583
combined_pcst,inference_query,0.6438,0.2696,0.2028,0.3038,10.34,816
combined_pcst,comparison_query,0.7298,0.5164,0.1651,0.2666,10.02,856
combined_pcst,temporal_query,0.7736,0.5317,0.2049,0.3199,9.33,583
dense_no_pcst,inference_query,0.716,0.3407,0.2058,0.3166,11,816
dense_no_pcst,comparison_query,0.7794,0.59,0.1544,0.2567,11,856
dense_no_pcst,temporal_query,0.8248,0.6038,0.1789,0.2922,11,583
entity_no_pcst,inference_query,0.6628,0.2794,0.2134,0.3088,10.35,816
entity_no_pcst,comparison_query,0.6088,0.3248,0.2141,0.2721,8.96,856
entity_no_pcst,temporal_query,0.7493,0.4683,0.2392,0.3261,9.51,583
entity_pcst,inference_query,0.6508,0.2708,0.2029,0.3045,10.52,816
entity_pcst,comparison_query,0.6906,0.4498,0.1604,0.2534,10.48,856
entity_pcst,temporal_query,0.7564,0.5249,0.2026,0.3132,9.77,583
metadata_no_pcst,inference_query,0.6964,0.315,0.2033,0.3116,10.87,816
metadata_no_pcst,comparison_query,0.6894,0.4346,0.1582,0.252,10.19,856
metadata_no_pcst,temporal_query,0.7702,0.5283,0.1872,0.2954,10.34,583
metadata_pcst,inference_query,0.6409,0.2525,0.2151,0.3167,10.0,816
metadata_pcst,comparison_query,0.6819,0.4393,0.1667,0.2608,9.98,856
metadata_pcst,temporal_query,0.7296,0.4717,0.2146,0.3237,8.89,583
semantic_no_pcst,inference_query,0.7014,0.3088,0.2027,0.3115,10.97,816
semantic_no_pcst,comparison_query,0.7177,0.486,0.1467,0.2419,10.86,856
semantic_no_pcst,temporal_query,0.8065,0.5643,0.1819,0.2943,10.8,583
semantic_pcst,inference_query,0.6198,0.2463,0.2225,0.3218,9.11,816
semantic_pcst,comparison_query,0.7068,0.486,0.1729,0.2739,9.6,856
semantic_pcst,temporal_query,0.7624,0.5214,0.2221,0.3379,8.66,583
