condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.773,0.3775,0.1758,0.2841,14,816
combined_no_pcst,comparison_query,0.7802,0.5631,0.1233,0.2121,13.97,856
combined_no_pcst,temporal_query,0.8348,0.6209,0.1443,0.2447,13.92,583
combined_pcst,inference_query,0.6353,0.2586,0.2006,0.2995,10.43,816
combined_pcst,comparison_query,0.735,0.5222,0.1667,0.2688,10.03,856
combined_pcst,temporal_query,0.781,0.5386,0.2101,0.3265,9.24,583
dense_no_pcst,inference_query,0.7776,0.3958,0.1768,0.2858,14,816
dense_no_pcst,comparison_query,0.8174,0.6262,0.1279,0.2204,14,856
dense_no_pcst,temporal_query,0.8431,0.6346,0.1437,0.2443,14,583
entity_no_pcst,inference_query,0.7666,0.3664,0.1758,0.2837,13.88,816
entity_no_pcst,comparison_query,0.7473,0.5023,0.1235,0.2105,13.6,856
entity_no_pcst,temporal_query,0.8119,0.5918,0.1446,0.2437,13.64,583
entity_pcst,inference_query,0.6504,0.2831,0.1701,0.2642,12.99,816
entity_pcst,comparison_query,0.7329,0.5152,0.1345,0.2229,13.55,856
entity_pcst,temporal_query,0.787,0.5643,0.1752,0.2801,12.06,583
metadata_no_pcst,inference_query,0.7529,0.3664,0.1724,0.2783,13.93,816
metadata_no_pcst,comparison_query,0.7451,0.5129,0.1263,0.2135,13.42,856
metadata_no_pcst,temporal_query,0.8179,0.6106,0.1525,0.253,13.42,583
metadata_pcst,inference_query,0.6464,0.2586,0.2068,0.3081,10.5,816
metadata_pcst,comparison_query,0.6926,0.4533,0.1591,0.2524,10.63,856
metadata_pcst,temporal_query,0.7356,0.4734,0.2047,0.3123,9.46,583
semantic_no_pcst,inference_query,0.7615,0.3566,0.1734,0.2802,13.99,816
semantic_no_pcst,comparison_query,0.7819,0.5678,0.1242,0.2134,13.9,856
semantic_no_pcst,temporal_query,0.8368,0.6158,0.1456,0.2464,13.87,583
semantic_pcst,inference_query,0.6335,0.2574,0.2176,0.3185,9.54,816
semantic_pcst,comparison_query,0.7181,0.5035,0.1659,0.2657,10.22,856
semantic_pcst,temporal_query,0.7679,0.5249,0.2123,0.3268,9.16,583
