condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.6721,0.3235,0.2054,0.3113,10.91,816
combined_no_pcst,comparison_query,0.6628,0.3972,0.1369,0.2256,10.82,856
combined_no_pcst,temporal_query,0.7724,0.5266,0.1758,0.2841,10.8,583
combined_pcst,inference_query,0.5977,0.2525,0.2107,0.3064,9.7,816
combined_pcst,comparison_query,0.7206,0.5129,0.1737,0.2766,9.51,856
combined_pcst,temporal_query,0.7587,0.5249,0.2175,0.3329,8.82,583
dense_no_pcst,inference_query,0.6832,0.3407,0.2058,0.3136,11,816
dense_no_pcst,comparison_query,0.7728,0.59,0.1544,0.2563,11,856
dense_no_pcst,temporal_query,0.813,0.6038,0.1789,0.2914,11,583
entity_no_pcst,inference_query,0.6578,0.3002,0.2066,0.3092,10.77,816
entity_no_pcst,comparison_query,0.6657,0.4065,0.1491,0.2397,10.38,856
entity_no_pcst,temporal_query,0.7576,0.5111,0.1839,0.2915,10.5,583
entity_pcst,inference_query,0.5903,0.2402,0.2098,0.3035,9.73,816
entity_pcst,comparison_query,0.683,0.4533,0.1637,0.2582,10.24,856
entity_pcst,temporal_query,0.7553,0.5317,0.2107,0.3219,9.6,583
metadata_no_pcst,inference_query,0.6648,0.315,0.2033,0.3086,10.87,816
metadata_no_pcst,comparison_query,0.6828,0.4346,0.1582,0.2515,10.19,856
metadata_no_pcst,temporal_query,0.7579,0.5283,0.1872,0.2946,10.34,583
metadata_pcst,inference_query,0.5951,0.2365,0.2298,0.3263,9.02,816
metadata_pcst,comparison_query,0.6599,0.4206,0.1848,0.2807,8.76,856
metadata_pcst,temporal_query,0.7035,0.4528,0.2314,0.3403,8.04,583
semantic_no_pcst,inference_query,0.6687,0.3088,0.2027,0.3084,10.97,816
semantic_no_pcst,comparison_query,0.7111,0.486,0.1467,0.2415,10.86,856
semantic_no_pcst,temporal_query,0.7945,0.5643,0.1819,0.2934,10.8,583
semantic_pcst,inference_query,0.5787,0.2341,0.235,0.3292,8.4,816
semantic_pcst,comparison_query,0.6867,0.4673,0.1876,0.2906,8.6,856
semantic_pcst,temporal_query,0.7364,0.5009,0.2393,0.355,7.9,583
