condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.6242,0.2819,0.2317,0.3343,8.94,816
combined_no_pcst,comparison_query,0.633,0.3633,0.1576,0.251,8.93,856
combined_no_pcst,temporal_query,0.733,0.4837,0.2008,0.3127,8.9,583
combined_pcst,inference_query,0.5042,0.1446,0.2103,0.2915,8.29,816
combined_pcst,comparison_query,0.6569,0.4217,0.192,0.293,7.84,856
combined_pcst,temporal_query,0.7104,0.4443,0.2394,0.353,7.43,583
dense_no_pcst,inference_query,0.6327,0.2904,0.2322,0.3364,9,816
dense_no_pcst,comparison_query,0.7303,0.5292,0.1781,0.285,9,856
dense_no_pcst,temporal_query,0.7653,0.5489,0.2051,0.3212,9,583
entity_no_pcst,inference_query,0.6216,0.277,0.2352,0.3362,8.86,816
entity_no_pcst,comparison_query,0.6412,0.3797,0.1685,0.2636,8.66,856
entity_no_pcst,temporal_query,0.7176,0.47,0.2049,0.3148,8.73,583
entity_pcst,inference_query,0.4868,0.125,0.1967,0.2701,8.86,816
entity_pcst,comparison_query,0.6147,0.3563,0.178,0.2645,9.0,856
entity_pcst,temporal_query,0.6432,0.3636,0.2247,0.3203,7.95,583
metadata_no_pcst,inference_query,0.6237,0.2819,0.2302,0.3331,8.95,816
metadata_no_pcst,comparison_query,0.6599,0.4054,0.1772,0.2751,8.56,856
metadata_no_pcst,temporal_query,0.7276,0.4837,0.2109,0.3221,8.63,583
metadata_pcst,inference_query,0.5248,0.1667,0.2463,0.3282,7.7,816
metadata_pcst,comparison_query,0.5954,0.3329,0.2035,0.2947,7.24,856
metadata_pcst,temporal_query,0.6475,0.3636,0.2639,0.3652,6.6,583
semantic_no_pcst,inference_query,0.623,0.2708,0.2296,0.3323,8.99,816
semantic_no_pcst,comparison_query,0.6854,0.4533,0.1703,0.2711,8.93,856
semantic_no_pcst,temporal_query,0.7573,0.53,0.2077,0.3232,8.91,583
semantic_pcst,inference_query,0.4937,0.1409,0.2426,0.3191,7.0,816
semantic_pcst,comparison_query,0.6162,0.3621,0.2089,0.306,7.11,856
semantic_pcst,temporal_query,0.6727,0.3997,0.268,0.376,6.48,583
