condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7482,0.4498,0.1678,0.2722,14.87,816
combined_no_pcst,comparison_query,0.7745,0.5724,0.1163,0.2012,14.84,856
combined_no_pcst,temporal_query,0.8699,0.7496,0.1454,0.2475,14.79,583
combined_pcst,inference_query,0.6263,0.288,0.1972,0.2932,11.71,816
combined_pcst,comparison_query,0.7444,0.5304,0.1704,0.2732,10.32,856
combined_pcst,temporal_query,0.7739,0.5369,0.2161,0.3318,9.23,583
dense_no_pcst,inference_query,0.7523,0.4032,0.1672,0.2717,15,816
dense_no_pcst,comparison_query,0.8158,0.6367,0.1202,0.2087,15,856
dense_no_pcst,temporal_query,0.8382,0.6501,0.1354,0.232,15,583
entity_no_pcst,inference_query,0.7818,0.5294,0.185,0.2963,14.21,816
entity_no_pcst,comparison_query,0.7699,0.5759,0.1227,0.2102,14.2,856
entity_no_pcst,temporal_query,0.8576,0.7273,0.1483,0.2512,14.34,583
entity_pcst,inference_query,0.6402,0.3088,0.1829,0.2778,12.61,816
entity_pcst,comparison_query,0.6741,0.4357,0.1376,0.2201,13.42,856
entity_pcst,temporal_query,0.7599,0.53,0.1871,0.29,11.95,583
metadata_no_pcst,inference_query,0.7477,0.4191,0.1672,0.2714,14.9,816
metadata_no_pcst,comparison_query,0.7656,0.5607,0.1179,0.2031,14.64,856
metadata_no_pcst,temporal_query,0.8299,0.6501,0.1383,0.2357,14.72,583
metadata_pcst,inference_query,0.5972,0.2304,0.213,0.3075,10.11,816
metadata_pcst,comparison_query,0.6361,0.3762,0.1699,0.2569,9.82,856
metadata_pcst,temporal_query,0.7018,0.4494,0.224,0.3301,8.58,583
semantic_no_pcst,inference_query,0.7442,0.3983,0.1769,0.2832,14.07,816
semantic_no_pcst,comparison_query,0.7776,0.5864,0.1201,0.2068,14.44,856
semantic_no_pcst,temporal_query,0.8293,0.6364,0.1418,0.2405,14.3,583
semantic_pcst,inference_query,0.6066,0.2537,0.2498,0.3451,8.52,816
semantic_pcst,comparison_query,0.6848,0.465,0.1699,0.2654,10.1,856
semantic_pcst,temporal_query,0.7236,0.494,0.2208,0.3294,8.73,583
