condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7274,0.3468,0.193,0.3022,11.96,816
combined_no_pcst,comparison_query,0.7019,0.4439,0.1297,0.218,11.95,856
combined_no_pcst,temporal_query,0.803,0.5643,0.1634,0.2695,11.88,583
combined_pcst,inference_query,0.6348,0.2561,0.1979,0.2967,10.46,816
combined_pcst,comparison_query,0.7282,0.514,0.1657,0.2675,9.88,856
combined_pcst,temporal_query,0.7722,0.5283,0.2032,0.3178,9.34,583
dense_no_pcst,inference_query,0.7364,0.3578,0.1943,0.3048,12,816
dense_no_pcst,comparison_query,0.796,0.6051,0.145,0.2443,12,856
dense_no_pcst,temporal_query,0.8308,0.6141,0.1652,0.2741,12,583
entity_no_pcst,inference_query,0.7231,0.3235,0.1961,0.304,11.83,816
entity_no_pcst,comparison_query,0.7002,0.4334,0.1372,0.2262,11.62,856
entity_no_pcst,temporal_query,0.7836,0.5283,0.1668,0.2717,11.62,583
entity_pcst,inference_query,0.6181,0.2488,0.1929,0.2886,10.68,816
entity_pcst,comparison_query,0.7362,0.5093,0.1529,0.2486,11.5,856
entity_pcst,temporal_query,0.7824,0.5455,0.1962,0.3073,10.48,583
metadata_no_pcst,inference_query,0.7126,0.3223,0.1892,0.2964,11.95,816
metadata_no_pcst,comparison_query,0.7142,0.465,0.1401,0.2317,11.54,856
metadata_no_pcst,temporal_query,0.791,0.5609,0.1683,0.2742,11.6,583
metadata_pcst,inference_query,0.6292,0.2463,0.2165,0.317,9.56,816
metadata_pcst,comparison_query,0.6998,0.4755,0.1671,0.2651,9.76,856
metadata_pcst,temporal_query,0.7387,0.4906,0.211,0.3221,8.93,583
semantic_no_pcst,inference_query,0.7228,0.3248,0.1913,0.2998,11.99,816
semantic_no_pcst,comparison_query,0.7405,0.5152,0.1369,0.2299,11.93,856
semantic_no_pcst,temporal_query,0.8199,0.5918,0.1669,0.2754,11.88,583
semantic_pcst,inference_query,0.6176,0.2353,0.2186,0.318,9.13,816
semantic_pcst,comparison_query,0.7009,0.4836,0.1725,0.2737,9.3,856
semantic_pcst,temporal_query,0.7559,0.5077,0.2194,0.3352,8.57,583
