condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7583,0.3676,0.1854,0.2955,13,816
combined_no_pcst,comparison_query,0.7743,0.5526,0.1317,0.2242,12.98,856
combined_no_pcst,temporal_query,0.8276,0.6072,0.1539,0.258,12.94,583
combined_pcst,inference_query,0.6347,0.2574,0.2023,0.3017,10.27,816
combined_pcst,comparison_query,0.7338,0.5222,0.167,0.2691,9.99,856
combined_pcst,temporal_query,0.7802,0.5386,0.21,0.3263,9.22,583
combined_random_structure_no_pcst,inference_query,0.201,0.0025,0.0464,0.0747,12.9,816
combined_random_structure_no_pcst,comparison_query,0.2761,0.007,0.0454,0.0778,12.87,856
combined_random_structure_no_pcst,temporal_query,0.2704,0.0051,0.0481,0.0813,12.95,583
combined_random_structure_pcst,inference_query,0.5673,0.2059,0.077,0.1347,23.19,816
combined_random_structure_pcst,comparison_query,0.6661,0.4357,0.064,0.1164,22.58,856
combined_random_structure_pcst,temporal_query,0.7115,0.4563,0.0755,0.1359,22.5,583
combined_shuffled_nodes_no_pcst,inference_query,0.2156,0.0061,0.0509,0.0815,12.78,816
combined_shuffled_nodes_no_pcst,comparison_query,0.2837,0.0152,0.0489,0.0828,12.45,856
combined_shuffled_nodes_no_pcst,temporal_query,0.275,0.012,0.0515,0.0861,12.33,583
combined_shuffled_nodes_pcst,inference_query,0.5751,0.2206,0.0914,0.1565,19.72,816
combined_shuffled_nodes_pcst,comparison_query,0.6651,0.4393,0.0741,0.1329,19.53,856
combined_shuffled_nodes_pcst,temporal_query,0.7127,0.458,0.0894,0.1579,19.25,583
dense_no_pcst,inference_query,0.7603,0.3787,0.1859,0.2962,13,816
dense_no_pcst,comparison_query,0.81,0.6168,0.1365,0.2327,13,856
dense_no_pcst,temporal_query,0.8376,0.6261,0.1537,0.2584,13,583
entity_no_pcst,inference_query,0.7518,0.3517,0.185,0.2943,12.93,816
entity_no_pcst,comparison_query,0.7393,0.4907,0.1302,0.22,12.7,856
entity_no_pcst,temporal_query,0.8073,0.5832,0.1533,0.256,12.74,583
entity_pcst,inference_query,0.6365,0.2635,0.1833,0.2791,11.71,816
entity_pcst,comparison_query,0.7185,0.4907,0.1437,0.2346,12.34,856
entity_pcst,temporal_query,0.7799,0.5523,0.1895,0.2982,10.94,583
entity_random_structure_no_pcst,inference_query,0.3254,0.0417,0.0762,0.1223,12.85,816
entity_random_structure_no_pcst,comparison_query,0.4299,0.1554,0.0709,0.1214,12.92,856
entity_random_structure_no_pcst,temporal_query,0.444,0.1681,0.0789,0.1334,12.95,583
entity_random_structure_pcst,inference_query,0.5693,0.2132,0.083,0.1436,21.93,816
entity_random_structure_pcst,comparison_query,0.6719,0.4357,0.0666,0.1206,22.51,856
entity_random_structure_pcst,temporal_query,0.7181,0.4511,0.0805,0.1435,22.11,583
entity_shuffled_nodes_no_pcst,inference_query,0.1974,0.0049,0.0713,0.0945,10.34,816
entity_shuffled_nodes_no_pcst,comparison_query,0.2743,0.0023,0.0949,0.1245,9.14,856
entity_shuffled_nodes_no_pcst,temporal_query,0.2699,0.0069,0.1056,0.132,9.13,583
entity_shuffled_nodes_pcst,inference_query,0.5509,0.2059,0.0798,0.1383,21.72,816
entity_shuffled_nodes_pcst,comparison_query,0.6145,0.3715,0.0619,0.1119,21.77,856
entity_shuffled_nodes_pcst,temporal_query,0.6692,0.4168,0.0751,0.1341,21.6,583
metadata_no_pcst,inference_query,0.7472,0.3566,0.1837,0.2924,12.95,816
metadata_no_pcst,comparison_query,0.7422,0.5082,0.1337,0.2242,12.55,856
metadata_no_pcst,temporal_query,0.8099,0.5952,0.1605,0.264,12.54,583
metadata_pcst,inference_query,0.6409,0.2525,0.2151,0.3167,10.0,816
metadata_pcst,comparison_query,0.6819,0.4393,0.1667,0.2608,9.98,856
metadata_pcst,temporal_query,0.7296,0.4717,0.2146,0.3237,8.89,583
metadata_random_structure_no_pcst,inference_query,0.3254,0.0417,0.0762,0.1223,12.85,816
metadata_random_structure_no_pcst,comparison_query,0.4299,0.1554,0.0709,0.1214,12.92,856
metadata_random_structure_no_pcst,temporal_query,0.444,0.1681,0.0789,0.1334,12.95,583
metadata_random_structure_pcst,inference_query,0.5734,0.2181,0.0774,0.1355,23.33,816
metadata_random_structure_pcst,comparison_query,0.6719,0.4416,0.0636,0.1159,23.02,856
metadata_random_structure_pcst,temporal_query,0.7144,0.4614,0.0741,0.1337,22.96,583
metadata_shuffled_nodes_no_pcst,inference_query,0.3338,0.0392,0.0873,0.136,12.08,816
metadata_shuffled_nodes_no_pcst,comparison_query,0.4317,0.1589,0.0841,0.1372,12.0,856
metadata_shuffled_nodes_no_pcst,temporal_query,0.4334,0.163,0.086,0.1403,11.92,583
metadata_shuffled_nodes_pcst,inference_query,0.5191,0.163,0.0775,0.1336,21.12,816
metadata_shuffled_nodes_pcst,comparison_query,0.5903,0.3435,0.0609,0.1099,21.13,856
metadata_shuffled_nodes_pcst,temporal_query,0.6298,0.3448,0.0725,0.1292,20.77,583
semantic_no_pcst,inference_query,0.7493,0.348,0.1832,0.292,13.0,816
semantic_no_pcst,comparison_query,0.773,0.5502,0.1318,0.2242,12.94,856
semantic_no_pcst,temporal_query,0.8336,0.6089,0.1555,0.2604,12.91,583
semantic_pcst,inference_query,0.6198,0.2463,0.2225,0.3218,9.11,816
semantic_pcst,comparison_query,0.7068,0.486,0.1729,0.2739,9.6,856
semantic_pcst,temporal_query,0.7624,0.5214,0.2221,0.3379,8.66,583
semantic_random_structure_no_pcst,inference_query,0.1916,0.0,0.0543,0.0832,10.5,816
semantic_random_structure_no_pcst,comparison_query,0.2732,0.0047,0.0559,0.0919,10.76,856
semantic_random_structure_no_pcst,temporal_query,0.2687,0.0034,0.0593,0.096,10.84,583
semantic_random_structure_pcst,inference_query,0.5684,0.2083,0.08,0.1394,22.33,816
semantic_random_structure_pcst,comparison_query,0.6674,0.4357,0.0657,0.1193,22.06,856
semantic_random_structure_pcst,temporal_query,0.7161,0.4563,0.0792,0.1419,21.64,583
semantic_shuffled_nodes_no_pcst,inference_query,0.1962,0.0049,0.0662,0.0956,9.85,816
semantic_shuffled_nodes_no_pcst,comparison_query,0.2751,0.0082,0.0662,0.1024,10.4,856
semantic_shuffled_nodes_no_pcst,temporal_query,0.2644,0.0034,0.0718,0.1086,10.17,583
semantic_shuffled_nodes_pcst,inference_query,0.5586,0.201,0.0746,0.1306,23.43,816
semantic_shuffled_nodes_pcst,comparison_query,0.6562,0.4206,0.0604,0.1103,23.68,856
semantic_shuffled_nodes_pcst,temporal_query,0.7013,0.4494,0.0713,0.1289,23.34,583
