condition,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries,n_raw_queries,n_excluded_empty_gold
combined_no_pcst,0.7823,0.4998,0.1569,0.2587,12.98,2255,2556,301
combined_pcst,0.7099,0.4306,0.1909,0.2957,9.89,2255,2556,301
combined_random_structure_no_pcst,0.2475,0.0049,0.0465,0.0776,12.9,2255,2556,301
combined_random_structure_pcst,0.6421,0.3579,0.0717,0.1281,22.78,2255,2556,301
combined_shuffled_nodes_no_pcst,0.2568,0.0111,0.0503,0.0832,12.54,2255,2556,301
combined_shuffled_nodes_pcst,0.6448,0.365,0.0843,0.1479,19.53,2255,2556,301
dense_no_pcst,0.7992,0.533,0.1588,0.2623,13,2255,2556,301
entity_no_pcst,0.7614,0.4643,0.156,0.2562,12.79,2255,2556,301
entity_pcst,0.7047,0.4244,0.1699,0.2672,11.75,2255,2556,301
entity_random_structure_no_pcst,0.3957,0.1175,0.0749,0.1248,12.9,2255,2556,301
entity_random_structure_pcst,0.6467,0.3592,0.0761,0.1348,22.2,2255,2556,301
entity_shuffled_nodes_no_pcst,0.2453,0.0044,0.0891,0.1156,9.57,2255,2556,301
entity_shuffled_nodes_pcst,0.6056,0.3233,0.0718,0.1272,21.71,2255,2556,301
metadata_no_pcst,0.7615,0.4758,0.1587,0.2591,12.69,2255,2556,301
metadata_pcst,0.6794,0.38,0.1966,0.2973,9.71,2255,2556,301
metadata_random_structure_no_pcst,0.3957,0.1175,0.0749,0.1248,12.9,2255,2556,301
metadata_random_structure_pcst,0.6473,0.3659,0.0713,0.1276,23.11,2255,2556,301
metadata_shuffled_nodes_no_pcst,0.3967,0.1166,0.0858,0.1376,12.01,2255,2556,301
metadata_shuffled_nodes_pcst,0.5748,0.2785,0.0699,0.1234,21.03,2255,2556,301
semantic_no_pcst,0.7801,0.4922,0.1566,0.2581,12.95,2255,2556,301
semantic_pcst,0.6897,0.4084,0.2036,0.3078,9.18,2255,2556,301
semantic_random_structure_no_pcst,0.2425,0.0027,0.0562,0.0898,10.69,2255,2556,301
semantic_random_structure_pcst,0.6442,0.3588,0.0744,0.1324,22.05,2255,2556,301
semantic_shuffled_nodes_no_pcst,0.2438,0.0058,0.0677,0.1015,10.14,2255,2556,301
semantic_shuffled_nodes_pcst,0.6325,0.3486,0.0684,0.1225,23.5,2255,2556,301
