condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7041,0.3235,0.2054,0.3143,10.91,816
combined_no_pcst,comparison_query,0.6694,0.3972,0.1369,0.226,10.82,856
combined_no_pcst,temporal_query,0.7842,0.5266,0.1758,0.2849,10.8,583
combined_pcst,inference_query,0.6283,0.2525,0.2107,0.3103,9.7,816
combined_pcst,comparison_query,0.7272,0.5129,0.1737,0.2773,9.51,856
combined_pcst,temporal_query,0.7707,0.5249,0.2175,0.3343,8.82,583
dense_no_pcst,inference_query,0.716,0.3407,0.2058,0.3166,11,816
dense_no_pcst,comparison_query,0.7794,0.59,0.1544,0.2567,11,856
dense_no_pcst,temporal_query,0.8248,0.6038,0.1789,0.2922,11,583
entity_no_pcst,inference_query,0.6903,0.3002,0.2066,0.3127,10.77,816
entity_no_pcst,comparison_query,0.6721,0.4065,0.1491,0.2401,10.38,856
entity_no_pcst,temporal_query,0.7696,0.5111,0.1839,0.2924,10.5,583
entity_pcst,inference_query,0.6182,0.2402,0.2098,0.3072,9.73,816
entity_pcst,comparison_query,0.69,0.4533,0.1637,0.259,10.24,856
entity_pcst,temporal_query,0.7684,0.5317,0.2107,0.3236,9.6,583
metadata_no_pcst,inference_query,0.6964,0.315,0.2033,0.3116,10.87,816
metadata_no_pcst,comparison_query,0.6894,0.4346,0.1582,0.252,10.19,856
metadata_no_pcst,temporal_query,0.7702,0.5283,0.1872,0.2954,10.34,583
metadata_pcst,inference_query,0.6254,0.2365,0.2298,0.3306,9.02,816
metadata_pcst,comparison_query,0.6665,0.4206,0.1848,0.2815,8.76,856
metadata_pcst,temporal_query,0.7147,0.4528,0.2314,0.3418,8.04,583
semantic_no_pcst,inference_query,0.7014,0.3088,0.2027,0.3115,10.97,816
semantic_no_pcst,comparison_query,0.7177,0.486,0.1467,0.2419,10.86,856
semantic_no_pcst,temporal_query,0.8065,0.5643,0.1819,0.2943,10.8,583
semantic_pcst,inference_query,0.6087,0.2341,0.235,0.3337,8.4,816
semantic_pcst,comparison_query,0.6933,0.4673,0.1876,0.2914,8.6,856
semantic_pcst,temporal_query,0.7487,0.5009,0.2393,0.3566,7.9,583
