condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.6546,0.2819,0.2317,0.3382,8.94,816
combined_no_pcst,comparison_query,0.6396,0.3633,0.1576,0.2516,8.93,856
combined_no_pcst,temporal_query,0.7447,0.4837,0.2008,0.3137,8.9,583
combined_pcst,inference_query,0.5311,0.1446,0.2103,0.2958,8.29,816
combined_pcst,comparison_query,0.6634,0.4217,0.192,0.2939,7.84,856
combined_pcst,temporal_query,0.7213,0.4443,0.2394,0.3547,7.43,583
dense_no_pcst,inference_query,0.664,0.2904,0.2322,0.3403,9,816
dense_no_pcst,comparison_query,0.737,0.5292,0.1781,0.2856,9,856
dense_no_pcst,temporal_query,0.777,0.5489,0.2051,0.3223,9,583
entity_no_pcst,inference_query,0.6533,0.277,0.2352,0.3406,8.86,816
entity_no_pcst,comparison_query,0.6476,0.3797,0.1685,0.2642,8.66,856
entity_no_pcst,temporal_query,0.7293,0.47,0.2049,0.316,8.73,583
entity_pcst,inference_query,0.51,0.125,0.1967,0.2739,8.86,816
entity_pcst,comparison_query,0.6207,0.3563,0.178,0.2655,9.0,856
entity_pcst,temporal_query,0.6549,0.3636,0.2247,0.3224,7.95,583
metadata_no_pcst,inference_query,0.6536,0.2819,0.2302,0.3369,8.95,816
metadata_no_pcst,comparison_query,0.6665,0.4054,0.1772,0.2757,8.56,856
metadata_no_pcst,temporal_query,0.7393,0.4837,0.2109,0.3232,8.63,583
metadata_pcst,inference_query,0.5525,0.1667,0.2463,0.3335,7.7,816
metadata_pcst,comparison_query,0.6012,0.3329,0.2035,0.2958,7.24,856
metadata_pcst,temporal_query,0.6581,0.3636,0.2639,0.3672,6.6,583
semantic_no_pcst,inference_query,0.6542,0.2708,0.2296,0.3363,8.99,816
semantic_no_pcst,comparison_query,0.692,0.4533,0.1703,0.2717,8.93,856
semantic_no_pcst,temporal_query,0.769,0.53,0.2077,0.3244,8.91,583
semantic_pcst,inference_query,0.5201,0.1409,0.2426,0.3243,7.0,816
semantic_pcst,comparison_query,0.6223,0.3621,0.2089,0.307,7.11,856
semantic_pcst,temporal_query,0.6841,0.3997,0.268,0.378,6.48,583
