condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7693,0.451,0.1606,0.2641,16.0,816
combined_no_pcst,comparison_query,0.7845,0.5829,0.1099,0.1919,15.94,856
combined_no_pcst,temporal_query,0.8499,0.6895,0.1316,0.2266,15.86,583
combined_pcst,inference_query,0.6775,0.3407,0.1856,0.2875,12.53,816
combined_pcst,comparison_query,0.7726,0.5748,0.1427,0.2387,12.4,856
combined_pcst,temporal_query,0.8076,0.6072,0.1715,0.2798,11.73,583
dense_no_pcst,inference_query,0.757,0.4142,0.1576,0.2592,16,816
dense_no_pcst,comparison_query,0.8218,0.6472,0.1135,0.1987,16,856
dense_no_pcst,temporal_query,0.8488,0.6758,0.1288,0.2225,16,583
entity_no_pcst,inference_query,0.8462,0.7243,0.1776,0.2918,15.94,816
entity_no_pcst,comparison_query,0.7775,0.5794,0.1123,0.1952,15.63,856
entity_no_pcst,temporal_query,0.8571,0.7238,0.1335,0.2298,15.8,583
entity_pcst,inference_query,0.6827,0.3578,0.1634,0.2596,14.74,816
entity_pcst,comparison_query,0.7652,0.5654,0.1198,0.2037,15.7,856
entity_pcst,temporal_query,0.8045,0.6226,0.1503,0.2488,14.23,583
metadata_no_pcst,inference_query,0.7467,0.4081,0.156,0.2564,15.95,816
metadata_no_pcst,comparison_query,0.7679,0.5619,0.1103,0.1918,15.69,856
metadata_no_pcst,temporal_query,0.8259,0.6484,0.1295,0.2225,15.69,583
metadata_pcst,inference_query,0.6729,0.3223,0.1872,0.2891,12.5,816
metadata_pcst,comparison_query,0.7247,0.5023,0.1339,0.222,13.08,856
metadata_pcst,temporal_query,0.7659,0.5455,0.1689,0.2714,11.93,583
semantic_no_pcst,inference_query,0.7528,0.3909,0.1569,0.258,15.99,816
semantic_no_pcst,comparison_query,0.7993,0.6121,0.1114,0.1948,15.94,856
semantic_no_pcst,temporal_query,0.8382,0.6501,0.1278,0.2208,15.94,583
semantic_pcst,inference_query,0.6678,0.3284,0.197,0.3,11.6,816
semantic_pcst,comparison_query,0.7551,0.5584,0.143,0.2376,12.43,856
semantic_pcst,temporal_query,0.7945,0.5901,0.1739,0.2817,11.51,583
