condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7583,0.3676,0.1854,0.2955,13,816
combined_no_pcst,comparison_query,0.7743,0.5526,0.1317,0.2242,12.98,856
combined_no_pcst,temporal_query,0.8276,0.6072,0.1539,0.258,12.94,583
combined_pcst,inference_query,0.6347,0.2574,0.2023,0.3017,10.27,816
combined_pcst,comparison_query,0.7338,0.5222,0.167,0.2691,9.99,856
combined_pcst,temporal_query,0.7802,0.5386,0.21,0.3263,9.22,583
dense_no_pcst,inference_query,0.7603,0.3787,0.1859,0.2962,13,816
dense_no_pcst,comparison_query,0.81,0.6168,0.1365,0.2327,13,856
dense_no_pcst,temporal_query,0.8376,0.6261,0.1537,0.2584,13,583
entity_no_pcst,inference_query,0.7518,0.3517,0.185,0.2943,12.93,816
entity_no_pcst,comparison_query,0.7393,0.4907,0.1302,0.22,12.7,856
entity_no_pcst,temporal_query,0.8073,0.5832,0.1533,0.256,12.74,583
entity_pcst,inference_query,0.6365,0.2635,0.1833,0.2791,11.71,816
entity_pcst,comparison_query,0.7185,0.4907,0.1437,0.2346,12.34,856
entity_pcst,temporal_query,0.7799,0.5523,0.1895,0.2982,10.94,583
metadata_no_pcst,inference_query,0.7472,0.3566,0.1837,0.2924,12.95,816
metadata_no_pcst,comparison_query,0.7422,0.5082,0.1337,0.2242,12.55,856
metadata_no_pcst,temporal_query,0.8099,0.5952,0.1605,0.264,12.54,583
metadata_pcst,inference_query,0.6409,0.2525,0.2151,0.3167,10.0,816
metadata_pcst,comparison_query,0.6819,0.4393,0.1667,0.2608,9.98,856
metadata_pcst,temporal_query,0.7296,0.4717,0.2146,0.3237,8.89,583
semantic_no_pcst,inference_query,0.7493,0.348,0.1832,0.292,13.0,816
semantic_no_pcst,comparison_query,0.773,0.5502,0.1318,0.2242,12.94,856
semantic_no_pcst,temporal_query,0.8336,0.6089,0.1555,0.2604,12.91,583
semantic_pcst,inference_query,0.6198,0.2463,0.2225,0.3218,9.11,816
semantic_pcst,comparison_query,0.7068,0.486,0.1729,0.2739,9.6,856
semantic_pcst,temporal_query,0.7624,0.5214,0.2221,0.3379,8.66,583
