condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.7238,0.3676,0.1854,0.293,13,816
combined_no_pcst,comparison_query,0.7677,0.5526,0.1317,0.2238,12.98,856
combined_no_pcst,temporal_query,0.8153,0.6072,0.1539,0.2573,12.94,583
combined_pcst,inference_query,0.604,0.2574,0.2023,0.2981,10.27,816
combined_pcst,comparison_query,0.727,0.5222,0.167,0.2685,9.99,856
combined_pcst,temporal_query,0.7682,0.5386,0.21,0.325,9.22,583
dense_no_pcst,inference_query,0.7262,0.3787,0.1859,0.2938,13,816
dense_no_pcst,comparison_query,0.8033,0.6168,0.1365,0.2324,13,856
dense_no_pcst,temporal_query,0.8253,0.6261,0.1537,0.2577,13,583
entity_no_pcst,inference_query,0.7174,0.3517,0.185,0.2918,12.93,816
entity_no_pcst,comparison_query,0.7329,0.4907,0.1302,0.2197,12.7,856
entity_no_pcst,temporal_query,0.795,0.5832,0.1533,0.2553,12.74,583
entity_pcst,inference_query,0.6079,0.2635,0.1833,0.276,11.71,816
entity_pcst,comparison_query,0.7114,0.4907,0.1437,0.2339,12.34,856
entity_pcst,temporal_query,0.7667,0.5523,0.1895,0.2968,10.94,583
metadata_no_pcst,inference_query,0.7133,0.3566,0.1837,0.29,12.95,816
metadata_no_pcst,comparison_query,0.7356,0.5082,0.1337,0.2238,12.55,856
metadata_no_pcst,temporal_query,0.7979,0.5952,0.1605,0.2634,12.54,583
metadata_pcst,inference_query,0.6102,0.2525,0.2151,0.3129,10.0,816
metadata_pcst,comparison_query,0.6752,0.4393,0.1667,0.2601,9.98,856
metadata_pcst,temporal_query,0.7184,0.4717,0.2146,0.3225,8.89,583
semantic_no_pcst,inference_query,0.7152,0.348,0.1832,0.2895,13.0,816
semantic_no_pcst,comparison_query,0.7664,0.5502,0.1318,0.2239,12.94,856
semantic_no_pcst,temporal_query,0.8213,0.6089,0.1555,0.2598,12.91,583
semantic_pcst,inference_query,0.5891,0.2463,0.2225,0.3178,9.11,816
semantic_pcst,comparison_query,0.7002,0.486,0.1729,0.2731,9.6,856
semantic_pcst,temporal_query,0.7501,0.5214,0.2221,0.3365,8.66,583
