condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.8649,0.7819,0.1067,0.1852,33.84,816
combined_no_pcst,comparison_query,0.7792,0.6051,0.0787,0.1386,29.29,856
combined_no_pcst,temporal_query,0.8897,0.8148,0.0872,0.1533,33.76,583
combined_pcst,inference_query,0.4949,0.1385,0.2248,0.3025,7.65,816
combined_pcst,comparison_query,0.6308,0.3867,0.2034,0.3032,7.14,856
combined_pcst,temporal_query,0.685,0.4134,0.2541,0.3652,6.78,583
dense_no_pcst,inference_query,0.6038,0.2623,0.2488,0.3488,8,816
dense_no_pcst,comparison_query,0.7085,0.5035,0.1941,0.3031,8,856
dense_no_pcst,temporal_query,0.7493,0.5317,0.2256,0.3442,8,583
entity_no_pcst,inference_query,0.7972,0.685,0.1404,0.2138,27.27,816
entity_no_pcst,comparison_query,0.6778,0.4614,0.1741,0.2121,21.85,856
entity_no_pcst,temporal_query,0.8168,0.6724,0.1688,0.2222,26.56,583
entity_pcst,inference_query,0.4953,0.1299,0.2251,0.2989,7.78,816
entity_pcst,comparison_query,0.5843,0.3201,0.192,0.2788,7.66,856
entity_pcst,temporal_query,0.6295,0.3396,0.2532,0.3458,6.95,583
metadata_no_pcst,inference_query,0.5633,0.2806,0.1857,0.2575,11.6,816
metadata_no_pcst,comparison_query,0.5551,0.2523,0.165,0.2256,10.59,856
metadata_no_pcst,temporal_query,0.6835,0.4511,0.19,0.2684,11.59,583
metadata_pcst,inference_query,0.5248,0.1667,0.2464,0.3282,7.7,816
metadata_pcst,comparison_query,0.5958,0.3329,0.2035,0.2947,7.25,856
metadata_pcst,temporal_query,0.6475,0.3636,0.2635,0.3649,6.6,583
semantic_no_pcst,inference_query,0.7039,0.3248,0.1726,0.2722,14.1,816
semantic_no_pcst,comparison_query,0.6624,0.3855,0.1317,0.2118,12.69,856
semantic_no_pcst,temporal_query,0.7724,0.5334,0.1587,0.2566,13.29,583
semantic_pcst,inference_query,0.4937,0.1409,0.2426,0.3191,7.0,816
semantic_pcst,comparison_query,0.6162,0.3621,0.2089,0.306,7.11,856
semantic_pcst,temporal_query,0.6727,0.3997,0.268,0.3759,6.48,583
