condition,question_type,evidence_recall,full_hit_rate,precision,f1,avg_retrieved_size,n_queries
combined_no_pcst,inference_query,0.6739,0.3272,0.2038,0.3103,10.96,816
combined_no_pcst,comparison_query,0.6756,0.4194,0.1401,0.2305,10.8,856
combined_no_pcst,temporal_query,0.7796,0.5386,0.1773,0.2865,10.8,583
combined_pcst,inference_query,0.6053,0.2598,0.2096,0.3066,9.88,816
combined_pcst,comparison_query,0.7124,0.5035,0.172,0.274,9.43,856
combined_pcst,temporal_query,0.7559,0.5249,0.2129,0.3279,8.88,583
dense_no_pcst,inference_query,0.6832,0.3407,0.2058,0.3136,11,816
dense_no_pcst,comparison_query,0.7728,0.59,0.1544,0.2563,11,856
dense_no_pcst,temporal_query,0.813,0.6038,0.1789,0.2914,11,583
entity_no_pcst,inference_query,0.6327,0.2794,0.2134,0.3045,10.35,816
entity_no_pcst,comparison_query,0.6022,0.3248,0.2141,0.2712,8.96,856
entity_no_pcst,temporal_query,0.737,0.4683,0.2392,0.3252,9.51,583
entity_pcst,inference_query,0.6179,0.2684,0.2042,0.3017,10.47,816
entity_pcst,comparison_query,0.6811,0.4474,0.1589,0.2514,10.46,856
entity_pcst,temporal_query,0.7419,0.5266,0.2038,0.313,9.68,583
metadata_no_pcst,inference_query,0.6648,0.315,0.2033,0.3086,10.87,816
metadata_no_pcst,comparison_query,0.6828,0.4346,0.1582,0.2515,10.19,856
metadata_no_pcst,temporal_query,0.7579,0.5283,0.1872,0.2946,10.34,583
metadata_pcst,inference_query,0.6102,0.2525,0.2151,0.313,10.0,816
metadata_pcst,comparison_query,0.6756,0.4393,0.1667,0.2601,9.99,856
metadata_pcst,temporal_query,0.7184,0.4717,0.2145,0.3224,8.9,583
semantic_no_pcst,inference_query,0.6687,0.3088,0.2027,0.3084,10.97,816
semantic_no_pcst,comparison_query,0.7111,0.486,0.1467,0.2415,10.86,856
semantic_no_pcst,temporal_query,0.7945,0.5643,0.1819,0.2934,10.8,583
semantic_pcst,inference_query,0.5891,0.2463,0.2225,0.3178,9.11,816
semantic_pcst,comparison_query,0.7002,0.486,0.1729,0.2731,9.6,856
semantic_pcst,temporal_query,0.7501,0.5214,0.222,0.3365,8.66,583
